M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   before DfgBuild: Setup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before DfgBuild: ValidateNLDMOperators : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  DfgBuild: ValidateNLDMOperators : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: Setup : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: ReuseCheck : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: ReuseCheck : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: Flatten : M=1444.75mb, Malloc-M=512mb, Available-M=92555mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: Flatten : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: ClockSetup : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: ClockSetup : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: Modeling : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: Modeling : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: FlatRemodel : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   after  DfgBuild: FlatRemodel : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   before DfgBuild: NldfgBuild : M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Print statistics M=1452.76mb, Malloc-M=521mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Print statistics M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Reduce bidirectionals M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Reduce bidirectionals M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Cutpoint Insertion M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Cutpoint Insertion M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Compute net equivalences M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Compute net equivalences M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Eliminate bidirectionals M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Eliminate bidirectionals M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Remove false combo loops M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute combinational SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Compute templates M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute templates M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   before NldfgBuild : Eliminate combinational SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
STATS:: |   |   |   |   |   after  NldfgBuild : Eliminate combinational SCCs M=1452.76mb, Malloc-M=522mb, Available-M=92546mb, T=0s CPU=0s W=(2026-06-09 22:54:24)
