M is representing peak till the message
Malloc-M represents malloc memory at the message
Available-M represents available memory in the system
STATS:: |   |   |   |   after  NldfgBuild : Remove false combo loops M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   before NldfgBuild : Create dfg M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph function M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph function M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Create scopes M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Create scopes M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Initial setup M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Initial setup M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Create graph M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Create graph M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Create terminal sinks and sources M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Create terminal sinks and sources M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Compute dependencies M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   after  NldfgBuild : Compute dependencies M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
STATS:: |   |   |   |   |   before NldfgBuild : Compute combinational SCCs M=1444.27mb, Malloc-M=521mb, Available-M=91789mb, T=0s CPU=0s W=(2026-06-12 10:16:49)
