cycle,event,a,b,c,d,e
111,decode,51,0,0,0,0
112,operand,0,8,0,1,51
112,value,2147483647,0,0,0,0
112,decode,51,0,0,0,0
113,operand,0,9,0,1,51
113,value,2147483648,0,0,0,0
113,decode,51,0,0,0,0
114,operand,0,10,0,1,51
114,value,4294967295,0,0,0,0
114,decode,51,0,0,0,0
115,operand,0,0,5,1,51
115,value,0,0,0,0,0
115,decode,51,0,0,0,0
116,operand,0,0,6,1,51
116,value,0,1,0,0,0
116,decode,51,0,0,0,0
117,operand,0,0,7,1,51
117,value,0,4294967295,0,0,0
117,decode,51,0,0,0,0
118,operand,0,0,8,1,51
118,value,0,2147483647,0,0,0
118,decode,51,0,0,0,0
119,operand,0,0,9,1,51
119,value,0,2147483648,0,0,0
119,decode,19,0,0,0,0
120,operand,0,0,10,1,51
120,value,0,4294967295,0,0,0
120,decode,19,0,0,64,0
121,operand,0,0,0,1,19
121,value,0,0,0,0,0
121,imm,1,1,1,0,0
121,decode,19,0,0,63,0
122,operand,11,0,0,1,19
122,value,0,0,0,0,0
122,imm,1,3,2,4294965248,0
122,decode,35,0,0,0,0
123,operand,12,0,31,1,19
123,value,0,0,0,0,0
123,imm,1,2,3,2047,0
123,decode,35,0,0,64,0
123,ls,0,1,0,0,0
124,operand,0,2,0,3,35
124,value,0,0,0,0,0
124,imm,2,1,1,0,0
124,decode,35,0,0,63,0
124,ls,0,1,0,0,0
125,operand,0,2,0,3,35
125,value,0,0,0,0,0
125,imm,2,3,2,4294965248,0
125,decode,99,0,1,0,1
125,branch,0,0,0,0,0
125,ls,0,1,0,3,0
126,operand,31,2,0,3,35
126,value,0,0,0,0,0
126,imm,2,2,3,2047,0
126,decode,99,0,0,63,0
126,branch,1,0,0,0,0
126,bp,0,0,0,0,0
127,operand,0,0,0,4,99
127,value,0,0,0,0,0
127,imm,3,1,1,0,0
127,decode,0,1,0,0,0
127,bp,1,0,0,0,0
127,redirect,1,0,0,0,0
128,operand,31,0,0,4,99
128,value,0,0,0,0,0
128,imm,3,2,3,4094,0
128,hazard,fetch_stall,0,0,0,0
130,decode,111,0,1,0,1
130,jump,1,0,0,0,0
131,decode,0,1,0,0,0
131,bp,1,0,0,0,0
131,redirect,1,0,0,0,0
132,operand,0,0,0,5,111
132,value,0,0,0,0,0
132,imm,5,2,0,4096,0
132,hazard,fetch_stall,0,0,0,0
134,decode,99,0,1,64,1
134,branch,0,1,0,0,0
135,decode,55,0,0,0,0
135,bp,0,0,0,0,0
136,operand,0,0,0,4,99
136,value,0,0,0,0,0
136,imm,3,3,2,4294963200,0
136,decode,55,0,0,64,0
137,operand,13,0,0,7,55
137,value,0,0,0,0,0
137,imm,4,1,1,0,0
137,decode,55,0,7,63,7
138,operand,14,0,0,7,55
138,value,0,0,0,0,0
138,imm,4,3,2,2147483648,0
138,decode,55,0,7,127,7
139,operand,15,31,31,7,55
139,value,0,0,0,0,0
139,imm,4,2,3,2147479552,0
139,decode,111,0,0,0,0
139,jump,1,0,0,0,0
139,ras,push,0,0,0,0
140,operand,16,31,31,7,55
140,value,0,0,0,0,0
140,imm,4,3,4,4294963200,0
140,decode,115,0,0,0,0
140,bp,1,0,0,0,0
140,redirect,1,0,0,0,0
141,operand,1,0,8,5,111
141,value,0,2147483647,0,0,0
141,imm,5,2,0,8,0
141,hazard,fetch_stall,0,0,0,0
143,decode,111,0,7,127,7
143,jump,1,0,0,0,0
144,decode,0,1,0,0,0
144,bp,1,0,0,0,0
144,redirect,1,0,0,0,0
145,operand,0,31,29,5,111
145,value,0,0,0,0,0
145,imm,5,3,0,4294967292,0
145,hazard,fetch_stall,0,0,0,0
147,decode,115,0,0,0,0
148,decode,111,0,7,127,7
148,jump,1,0,0,0,0
148,hazard,fetch_stall,0,0,0,0
149,decode,111,0,7,127,7
149,jump,1,0,0,0,0
149,redirect,1,0,0,0,0
149,trap,2,0,0,0,0
