cycle,event,a,b,c,d,e
57,imm,3,3,0,4294967292,0
57,decode,99,0,4,127,4
57,branch,1,1,0,0,0
58,operand,10,10,1,1,19
58,value,11,0,0,0,0
58,imm,1,2,0,1,0
58,decode,19,0,0,0,0
58,bp,0,0,0,0,0
59,operand,29,10,11,4,99
59,value,12,20,0,0,0
59,imm,3,3,0,4294967292,0
59,decode,99,0,4,127,4
59,branch,1,1,0,0,0
60,operand,10,10,1,1,19
60,value,12,0,0,0,0
60,imm,1,2,0,1,0
60,decode,19,0,0,0,0
60,bp,0,0,0,0,0
61,operand,29,10,11,4,99
61,value,13,20,0,0,0
61,imm,3,3,0,4294967292,0
61,decode,99,0,4,127,4
61,branch,1,1,0,0,0
62,operand,10,10,1,1,19
62,value,13,0,0,0,0
62,imm,1,2,0,1,0
62,decode,19,0,0,0,0
62,bp,0,0,0,0,0
63,operand,29,10,11,4,99
63,value,14,20,0,0,0
63,imm,3,3,0,4294967292,0
63,decode,99,0,4,127,4
63,branch,1,1,0,0,0
64,operand,10,10,1,1,19
64,value,14,0,0,0,0
64,imm,1,2,0,1,0
64,decode,19,0,0,0,0
64,bp,0,0,0,0,0
65,operand,29,10,11,4,99
65,value,15,20,0,0,0
65,imm,3,3,0,4294967292,0
65,decode,99,0,4,127,4
65,branch,1,1,0,0,0
66,operand,10,10,1,1,19
66,value,15,0,0,0,0
66,imm,1,2,0,1,0
66,decode,19,0,0,0,0
66,bp,0,0,0,0,0
67,operand,29,10,11,4,99
67,value,16,20,0,0,0
67,imm,3,3,0,4294967292,0
67,decode,99,0,4,127,4
67,branch,1,1,0,0,0
68,operand,10,10,1,1,19
68,value,16,0,0,0,0
68,imm,1,2,0,1,0
68,decode,19,0,0,0,0
68,bp,0,0,0,0,0
69,operand,29,10,11,4,99
69,value,17,20,0,0,0
69,imm,3,3,0,4294967292,0
69,decode,99,0,4,127,4
69,branch,1,1,0,0,0
70,operand,10,10,1,1,19
70,value,17,0,0,0,0
70,imm,1,2,0,1,0
70,decode,19,0,0,0,0
70,bp,0,0,0,0,0
71,operand,29,10,11,4,99
71,value,18,20,0,0,0
71,imm,3,3,0,4294967292,0
71,decode,99,0,4,127,4
71,branch,1,1,0,0,0
72,operand,10,10,1,1,19
72,value,18,0,0,0,0
72,imm,1,2,0,1,0
72,decode,19,0,0,0,0
72,bp,0,0,0,0,0
73,operand,29,10,11,4,99
73,value,19,20,0,0,0
73,imm,3,3,0,4294967292,0
73,decode,99,0,4,127,4
73,branch,0,1,0,0,0
74,operand,10,10,1,1,19
74,value,19,0,0,0,0
74,imm,1,2,0,1,0
74,decode,19,0,0,0,0
74,bp,1,0,0,0,0
74,redirect,1,0,0,0,0
75,operand,29,10,11,4,99
75,value,20,20,0,0,0
75,imm,3,3,0,4294967292,0
77,decode,111,0,0,0,0
77,jump,1,0,0,0,0
77,ras,push,0,0,0,0
78,decode,23,0,0,0,0
78,bp,1,0,0,0,0
78,redirect,1,0,0,0,0
79,operand,1,0,28,5,111
79,value,0,2,0,0,0
79,imm,5,2,0,28,0
81,decode,19,0,0,127,0
82,decode,35,0,2,0,2
83,operand,2,2,16,1,19
83,value,16384,0,0,0,0
83,imm,1,3,0,4294967280,0
83,decode,111,0,0,0,0
83,jump,1,0,0,0,0
83,ls,0,1,2,0,0
83,ras,push,0,0,0,0
84,operand,12,2,1,3,35
84,value,16368,104,0,0,0
84,imm,2,2,0,12,0
