################################################################################
#
# Purpose:
# This file contains the information about the virtual clock domains 
# inferred for the black box pins according to the "abstract_module" 
# constraints provided in sgdc file 
#
################################################################################

Blackbox instance, Pin, Domain name, Domain id, SGDC file:line
cpu_m1_top.u_core.u_trigger,ex_pc[17],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[18],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[19],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[20],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[21],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[22],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[23],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[24],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[25],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[26],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[27],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[28],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[29],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[30],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_pc[31],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,ex_is_16bit,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_valid,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_is_load,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_is_store,"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[0],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[1],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[2],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[3],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[4],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[5],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[6],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[7],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[8],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[9],"cpu_m1_top.clk",0,-
cpu_m1_top.u_core.u_trigger,mem_addr[10],"cpu_m1_top.clk",0,-
